accessed_date,duration_(secs),network_protocol,ip,bytes,accessed_Ffom,age,gender,country,membership,language,sales,returned,returned_amount,pay_method
2017-03-19 00:00:14.282,2612,TCP  ,192.34.209.182,329,Mozilla Firefox,60,Male,RU,Premium,English,121.98,No,0.0,Cash
2017-03-19 00:00:14.282,2314,TCP  ,192.34.240.15,4474,Mozilla Firefox,54,Male,AR,Premium,English,162.64,No,0.0,Cash
2017-03-19 00:00:33.312,3936,TCP  ,192.80.185.382,46,Safari,53,Female,IT,Premium,English,40.66,No,0.0,Credit Card
2017-03-19 00:00:33.312,4501,TCP  ,192.80.185.403,40,Safari,48,Male,IT,Premium,English,81.32,No,0.0,Debit Card
2017-03-19 00:00:48.684,2539,TCP  ,193.125.50.77,501,Others,61,Male,IT,Premium,Spanish,900.24,No,0.0,Cash
2017-03-19 00:00:48.684,2540,TCP  ,193.13.75.9,1684,Mozilla Firefox,31,Male,IT,Premium,swedish,121.98,No,0.0,Others
2017-03-19 00:00:59.364,1544,TCP  ,193.172.1.198,46,Android App,39,Female,SE,Premium,English,0.0,Yes,1425.38,Credit Card
2017-03-19 00:00:59.364,4428,TCP  ,193.180.253.6,40,Android App,26,Female,JP,Premium,English,179.2,No,0.0,Cash
2017-03-19 00:01:24.460,3891,TCP  ,193.227.209.110,46,Mozilla Firefox,40,Male,CO,Premium,Russian,35.84,No,0.0,Debit Card
2017-03-19 00:01:24.460,3636,TCP  ,193.235.140.214,40,Mozilla Firefox,69,Female,PL,Premium,norwegian,5.23,No,0.0,Debit Card
2017-03-19 00:01:55.392,4987,TCP  ,193.251.162.64,106,Chrome,19,Female,US,Premium,French,900.24,No,0.0,Credit Card
2017-03-19 00:01:55.392,2139,TCP  ,193.251.163.55,180,Chrome,28,Female,CA,Premium,French,107.52,No,0.0,Cash
2017-03-19 00:02:02.408,2386,TCP  ,193.251.37.212,225,Chrome,51,Male,SE,Premium,English,58.65,No,0.0,Credit Card
2017-03-19 00:02:02.408,4913,TCP  ,193.251.51.158,3371,IOS App,68,Male,CH,Premium,English,20.92,No,0.0,Credit Card
2017-03-19 00:01:58.403,4253,TCP  ,193.252.200.107,106,IOS App,42,Female,IN,Premium,English,0.0,Yes,1425.38,Cash
2017-03-19 00:01:58.403,2530,TCP  ,193.252.40.230,300,IOS App,31,Female,IN,Premium,French,600.16,No,0.0,Cash
2017-03-19 00:03:52.978,2119,TCP  ,193.254.216.142,40,IOS App,46,Male,IN,Premium,Russian,600.16,No,0.0,Debit Card
2017-03-19 00:03:52.978,4033,TCP  ,193.32.21.9,46,IOS App,41,Female,JP,Premium,English,179.2,No,0.0,Cash
2017-03-19 00:04:15.472,4004,TCP  ,193.34.173.74,46,Microsoft Edge,29,Male,PL,Premium,English,1500.4,No,0.0,Cash
2017-03-19 00:04:15.472,3675,TCP  ,193.34.60.148,40,Microsoft Edge,19,Male,GB,Premium,Spanish,203.3,No,0.0,Cash
2017-03-19 00:04:19.717,2945,TCP  ,193.36.32.235,277,Microsoft Edge,68,Male,CA,Premium,English,5.23,No,0.0,Cash
2017-03-19 00:04:19.717,2682,TCP  ,193.41.139.25,1421,Microsoft Edge,59,Male,SE,Premium,English,75.75,No,0.0,Debit Card
2017-03-19 00:01:40.194,3656,TCP  ,193.41.156.7,561,Microsoft Edge,34,Female,JP,Normal,English,35.84,No,0.0,Others
2017-03-19 00:01:40.194,1638,TCP  ,193.43.246.254,589,Microsoft Edge,30,Female,CH,Normal,English,121.98,No,0.0,Credit Card
2017-03-19 00:01:40.196,2971,TCP  ,193.48.246.18,1723,Safari,54,Male,US,Normal,French,0.0,Yes,1080.306,Credit Card
2017-03-19 00:01:40.196,1553,TCP  ,193.53.83.22,579,Safari,18,Female,CA,Normal,Spanish,121.98,No,0.0,Debit Card
2017-03-19 00:01:40.254,2654,TCP  ,193.53.83.22,702,Safari,40,Female,AT,Normal,Spanish,0.0,Yes,91.485,Credit Card
2017-03-19 00:01:40.254,3129,TCP  ,193.54.74.34,586,Safari,27,Female,CA,Normal,French,2400.68,No,0.0,Cash
2017-03-19 00:01:40.254,1570,TCP  ,193.56.137.139,556,Others,52,Male,NO,Normal,Spanish,20.92,No,0.0,Cash
2017-03-19 00:01:40.254,2433,TCP  ,193.57.110.37,515,Others,33,Female,CA,Normal,French,0.0,Yes,162.64,Debit Card
2017-03-19 00:01:40.574,3372,TCP  ,193.77.35.112,702,Others,21,Female,MX,Normal,English,2400.68,No,0.0,Debit Card
2017-03-19 00:01:40.574,2304,TCP  ,193.80.214.186,586,Others,57,Male,CA,Normal,Russian,71.68,No,0.0,Cash
2017-03-19 00:01:40.574,3510,TCP  ,193.90.12.93,556,Others,35,Female,IT,Normal,English,71.68,No,0.0,Debit Card
2017-03-19 00:01:40.574,3823,TCP  ,193.96.199.245,515,Others,50,Female,US,Normal,German,0.0,Yes,225.06,Others
2017-03-19 00:01:40.585,4438,TCP  ,194.100.176.7,561,Others,22,Female,US,Normal,English,0.0,Yes,2280.646,Cash
2017-03-19 00:01:40.585,2046,TCP  ,194.105.145.87,589,Others,68,Female,US,Normal,English,10.46,No,0.0,Cash
2017-03-19 00:01:42.619,2550,TCP  ,194.11.29.67,1723,Others,36,Female,IT,Normal,English,143.36,No,0.0,Cash
2017-03-19 00:01:42.619,4621,TCP  ,194.114.62.127,533,Others,21,Male,RU,Normal,English,0.0,Yes,130.112,Cash
2017-03-19 00:01:42.624,3827,TCP  ,194.12.0.103,639,Safari,68,Male,RU,Normal,English,5.23,No,0.0,Cash
2017-03-19 00:01:42.624,4545,TCP  ,194.126.117.174,614,Safari,58,Male,JP,Normal,Spanish,20.92,No,0.0,Debit Card
2017-03-19 00:01:42.831,3354,TCP  ,194.129.64.55,639,Safari,19,Female,IT,Normal,English,179.2,No,0.0,Cash
2017-03-19 00:01:42.831,3576,TCP  ,194.135.161.50,614,Safari,47,Female,US,Normal,Spanish,600.16,No,0.0,Others
2017-03-19 00:01:03.469,3667,TCP  ,194.135.17.90,307,Safari,30,Female,IT,Premium,English,26.15,No,0.0,Credit Card
2017-03-19 00:01:03.469,4192,TCP  ,194.143.145.134,5654,Safari,41,Female,CA,Premium,Spanish,1500.4,No,0.0,Cash
2017-03-19 00:05:00.181,2321,TCP  ,194.144.24.226,46,IOS App,56,Male,JP,Premium,English,10.46,No,0.0,Credit Card
2017-03-19 00:05:00.181,2452,TCP  ,194.144.67.180,40,Microsoft Edge,61,Female,IT,Premium,French,0.0,Yes,25.088,Cash
2017-03-19 00:03:32.802,2251,TCP  ,194.145.208.113,314,Microsoft Edge,68,Male,IT,Premium,English,30.3,No,0.0,Cash
2017-03-19 00:03:32.802,3761,TCP  ,194.150.213.78,537,Microsoft Edge,47,Male,US,Premium,norwegian,10.46,No,0.0,Credit Card
2017-03-19 00:05:59.848,4261,TCP  ,194.150.65.113,40,IOS App,25,Male,CA,Premium,English,58.65,No,0.0,Credit Card
2017-03-19 00:05:59.848,4601,TCP  ,194.150.65.219,46,IOS App,51,Female,CN,Premium,Spanish,45.45,No,0.0,Credit Card
