accessed_date,duration_(secs),network_protocol,ip,bytes,accessed_Ffom,age,gender,country,membership,language,sales,returned,returned_amount,pay_method
2017-03-15 00:00:10.677,4563,TCP  ,1.129.96.79,46,Chrome,65,Male,IN,Premium,Spanish,665.88,No,0.0,Debit Card
2017-03-15 00:00:10.677,2380,TCP  ,1.129.96.86,40,Chrome,42,Female,JP,Premium,Spanish,55.5,No,0.0,Credit Card
2017-03-15 00:00:09.156,4127,TCP  ,1.129.97.46,3093,IOS App,46,Female,PL,Premium,English,8.56,No,0.0,Cash
2017-03-15 00:00:09.156,3461,TCP  ,1.129.97.62,2843,IOS App,24,Male,GB,Premium,Spanish,213.48,No,0.0,Others
2017-03-15 00:00:27.441,3050,TCP  ,1.132.96.125,46,IOS App,23,Male,CA,Premium,Spanish,22.72,No,0.0,Credit Card
2017-03-15 00:00:27.441,2283,TCP  ,1.132.96.203,40,IOS App,27,Female,SE,Premium,Spanish,19.46,No,0.0,Cash
2017-03-15 00:00:27.659,2203,TCP  ,1.132.97.60,2985,IOS App,52,Male,JP,Premium,English,0.0,Yes,18.504,Credit Card
2017-03-15 00:00:27.659,2040,TCP  ,1.136.97.40,2843,IOS App,44,Male,CH,Premium,English,71.372,No,0.0,Cash
2017-03-15 00:00:56.784,2034,TCP  ,1.136.97.67,40,IOS App,42,Female,US,Premium,Spanish,1044.63,No,0.0,Cash
2017-03-15 00:00:56.784,4125,TCP  ,1.144.96.234,46,Microsoft Edge,51,Male,CA,Premium,Spanish,11.648,No,0.0,Debit Card
2017-03-15 00:00:02.296,4281,TCP  ,1.144.96.77,420,Microsoft Edge,25,Female,AT,Premium,Spanish,90.57,No,0.0,Credit Card
2017-03-15 00:00:02.296,4107,TCP  ,1.144.97.41,4773,Microsoft Edge,50,Male,CA,Premium,Spanish,0.0,Yes,407.976,Cash
2017-03-15 00:00:55.806,3789,TCP  ,1.152.96.14,3065,Microsoft Edge,65,Female,NO,Premium,Spanish,9.618,No,0.0,Cash
2017-03-15 00:00:55.806,3563,TCP  ,1.152.96.156,2871,Microsoft Edge,29,Male,CA,Premium,Spanish,124.2,No,0.0,Credit Card
2017-03-15 00:01:28.437,2339,TCP  ,1.152.96.251,46,Microsoft Edge,66,Female,MX,Premium,Spanish,3.264,No,0.0,Others
2017-03-15 00:01:28.437,4200,TCP  ,1.152.97.102,40,Safari,23,Male,CA,Premium,Spanish,86.304,No,0.0,Credit Card
2017-03-15 00:01:15.747,2979,TCP  ,1.152.97.25,3065,Safari,32,Female,IT,Premium,Spanish,0.0,Yes,8.56,Credit Card
2017-03-15 00:01:15.747,4780,TCP  ,1.161.13.16,2871,Safari,51,Male,US,Premium,Spanish,15.76,No,0.0,Debit Card
2017-03-15 00:01:30.232,3183,TCP  ,1.161.27.235,329,Safari,66,Female,US,Premium,English,29.472,No,0.0,Credit Card
2017-03-15 00:01:30.232,3037,HTTP,1.162.51.164,2430,Others,68,Male,US,Premium,English,1097.544,No,0.0,Credit Card
2017-03-15 00:01:32.957,2881,TCP  ,1.163.208.88,3065,Others,43,Male,IT,Premium,Spanish,190.92,No,0.0,Credit Card
2017-03-15 00:01:32.957,3033,TCP  ,1.164.141.85,2917,Others,59,Female,RU,Premium,Spanish,113.328,No,0.0,Credit Card
2017-03-15 00:02:19.498,4827,TCP  ,1.164.73.87,2157,Others,54,Male,RU,Premium,Spanish,532.3992,No,0.0,Cash
2017-03-15 00:02:19.498,3264,TCP  ,1.168.54.202,3249,Others,24,Male,JP,Premium,Spanish,212.058,No,0.0,Cash
2017-03-15 00:00:46.705,4933,TCP  ,1.173.31.228,381,Others,49,Female,IT,Premium,Spanish,371.168,No,0.0,Cash
2017-03-15 00:00:46.705,3990,TCP  ,1.186.37.87,8669,Others,67,Male,US,Premium,Spanish,147.168,No,0.0,Credit Card
2017-03-15 00:02:34.788,3655,TCP  ,1.186.38.82,3065,Others,48,Female,IT,Premium,Spanish,77.88,No,0.0,Cash
2017-03-15 00:02:34.788,4420,TCP  ,1.186.98.212,3027,Others,40,Female,CA,Premium,Spanish,95.616,No,0.0,Cash
2017-03-15 00:02:14.124,2092,TCP  ,1.187.118.90,1029,Others,41,Female,JP,Premium,Spanish,45.98,No,0.0,Credit Card
2017-03-15 00:02:14.124,2646,TCP  ,1.187.188.80,7629,Safari,46,Male,IT,Premium,Spanish,17.46,No,0.0,Others
2017-03-15 00:02:55.012,3566,TCP  ,1.187.196.224,46,Safari,19,Female,IT,Premium,Spanish,211.96,No,0.0,Credit Card
2017-03-15 00:02:55.012,2200,TCP  ,1.187.201.169,40,Safari,43,Female,US,Premium,Spanish,45.0,No,0.0,Debit Card
2017-03-15 00:02:59.004,3928,TCP  ,1.187.207.245,329,Safari,18,Male,CA,Premium,Spanish,21.8,No,0.0,Others
2017-03-15 00:02:59.004,2585,TCP  ,1.187.58.245,4393,Safari,22,Female,CN,Premium,Spanish,38.22,No,0.0,Debit Card
2017-03-15 00:02:50.696,4855,TCP  ,1.187.84.143,3093,Safari,61,Female,CN,Premium,Spanish,75.18,No,0.0,Cash
2017-03-15 00:02:50.696,3301,TCP  ,1.187.86.94,2917,IOS App,41,Female,US,Premium,Spanish,0.0,Yes,113.328,Others
2017-03-15 00:03:11.781,2293,TCP  ,1.187.87.117,2985,Microsoft Edge,53,Female,IT,Premium,Spanish,89.99,No,0.0,Credit Card
2017-03-15 00:03:11.781,2115,TCP  ,1.187.87.135,2843,Microsoft Edge,43,Female,CA,Premium,Spanish,15.26,No,0.0,Cash
2017-03-15 00:03:26.410,3742,TCP  ,1.187.94.62,2261,Microsoft Edge,45,Female,CN,Premium,Spanish,1029.95,No,0.0,Debit Card
2017-03-15 00:03:26.410,1501,TCP  ,1.194.17.238,3249,IOS App,29,Female,US,Premium,Spanish,208.56,No,0.0,Others
2017-03-15 00:00:32.016,2800,TCP  ,1.200.201.129,2163,IOS App,43,Male,CA,Premium,Spanish,32.4,No,0.0,Cash
2017-03-15 00:00:32.016,4058,TCP  ,1.20.173.38,3237,IOS App,19,Female,AR,Premium,Spanish,319.41,No,0.0,Credit Card
2017-03-15 00:04:07.571,2858,TCP  ,1.20.175.155,46,IOS App,67,Female,GB,Premium,Spanish,14.56,No,0.0,Cash
2017-03-15 00:04:07.571,3921,TCP  ,1.20.175.187,40,IOS App,36,Female,DE,Premium,Spanish,30.0,No,0.0,Cash
2017-03-15 00:04:15.639,3814,TCP  ,1.20.245.38,46,Chrome,64,Male,US,Premium,Spanish,48.48,No,0.0,Others
2017-03-15 00:04:15.639,4678,TCP  ,1.20.34.63,40,Chrome,33,Female,JP,Premium,Spanish,0.0,Yes,45.0,Others
2017-03-15 00:04:20.538,3357,TCP  ,1.2.148.206,46,Chrome,33,Female,AU,Premium,Spanish,13.98,No,0.0,Credit Card
2017-03-15 00:04:20.538,1773,TCP  ,1.204.26.164,40,Chrome,66,Male,IT,Premium,Spanish,25.824,No,0.0,Cash
2017-03-15 00:01:26.295,1623,TCP  ,1.212.121.254,2283,Chrome,29,Female,RU,Premium,Spanish,0.0,Yes,75.18,Debit Card
2017-03-15 00:01:26.295,4017,TCP  ,1.23.61.210,3185,Chrome,22,Male,CH,Premium,Spanish,79.76,No,0.0,Cash
2017-03-15 00:04:29.221,1556,TCP  ,1.232.207.82,2157,Chrome,63,Female,AR,Premium,Spanish,213.115,No,0.0,Cash
2017-03-15 00:04:29.221,4791,TCP  ,1.235.201.62,3249,Chrome,24,Female,FI,Premium,Spanish,1113.024,No,0.0,Debit Card
2017-03-15 00:01:39.467,2603,TCP  ,1.32.127.178,556,Chrome,24,Female,IN,Normal,Spanish,167.968,No,0.0,Cash
2017-03-15 00:01:39.467,1782,TCP  ,1.32.41.53,515,Chrome,44,Female,CA,Normal,Spanish,75.88,No,0.0,Credit Card
2017-03-15 00:01:39.467,2843,TCP  ,1.32.72.28,561,Others,34,Male,AU,Normal,Spanish,4.616,No,0.0,Cash
2017-03-15 00:01:39.467,4080,TCP  ,1.32.74.177,589,Others,47,Female,CA,Normal,Spanish,19.05,No,0.0,Cash
2017-03-15 00:01:39.523,2350,TCP  ,1.32.77.0,702,Others,38,Male,IT,Normal,Spanish,831.936,No,0.0,Others
2017-03-15 00:01:39.523,4354,TCP  ,1.32.77.0,586,Others,57,Female,IT,Normal,Spanish,97.04,No,0.0,Others
2017-03-15 00:01:39.539,4981,TCP  ,1.38.4.14,1726,Others,67,Male,IT,Normal,Spanish,72.784,No,0.0,Cash
2017-03-15 00:01:39.539,4962,TCP  ,1.39.11.87,579,Others,41,Male,AU,Normal,Spanish,0.0,Yes,351.15,Others
2017-03-15 00:01:41.044,2634,TCP  ,1.39.12.67,639,Mozilla Firefox,40,Female,IT,Normal,Spanish,9.708,No,0.0,Debit Card
2017-03-15 00:01:41.044,2335,TCP  ,1.39.14.124,614,Mozilla Firefox,69,Female,IT,Normal,Spanish,27.24,No,0.0,Cash
2017-03-15 00:04:46.921,2295,TCP  ,1.39.14.149,2985,Mozilla Firefox,47,Female,IT,Premium,Spanish,19.3,No,0.0,Cash
2017-03-15 00:04:46.921,2695,TCP  ,1.39.20.105,2917,Mozilla Firefox,53,Female,US,Premium,Spanish,208.16,No,0.0,Credit Card
2017-03-15 00:04:54.424,4989,TCP  ,1.39.20.193,3249,Mozilla Firefox,40,Male,RU,Premium,Spanish,16.74,No,0.0,Cash
2017-03-15 00:04:54.424,3366,TCP  ,1.39.20.225,2261,Mozilla Firefox,60,Male,CN,Premium,Spanish,14.9,No,0.0,Credit Card
2017-03-15 00:05:11.669,3980,TCP  ,1.39.20.86,977,Android App,30,Male,CA,Premium,Spanish,21.39,No,0.0,Cash
2017-03-15 00:05:11.669,2608,TCP  ,1.39.21.169,1469,Android App,66,Female,CN,Premium,Spanish,200.984,No,0.0,Credit Card
2017-03-15 00:05:22.845,2915,TCP  ,1.39.21.83,40,Android App,22,Male,CH,Premium,Spanish,230.376,No,0.0,Cash
2017-03-15 00:05:22.845,1661,TCP  ,1.39.24.136,46,Android App,53,Male,CN,Premium,Spanish,0.0,Yes,19.05,Cash
2017-03-15 00:05:10.118,2216,TCP  ,1.39.24.170,3201,Android App,52,Female,CA,Premium,Spanish,19.99,No,0.0,Cash
2017-03-15 00:05:10.118,2620,TCP  ,1.39.24.241,2935,Android App,26,Male,AT,Premium,Spanish,0.0,Yes,97.04,Cash
2017-03-15 00:05:24.888,3779,TCP  ,1.39.24.43,3249,Android App,66,Male,GB,Premium,Spanish,158.368,No,0.0,Cash
2017-03-15 00:05:24.888,1587,TCP  ,1.39.24.72,2105,Android App,65,Male,CA,Premium,Spanish,20.1,No,0.0,Debit Card
2017-03-15 00:02:48.650,4227,TCP  ,1.39.25.105,561,Android App,43,Female,JP,Normal,Spanish,73.584,No,0.0,Cash
2017-03-15 00:02:48.650,4317,TCP  ,1.39.25.10,589,Android App,59,Female,PL,Normal,Spanish,0.0,Yes,27.24,Debit Card
